year_,cjars_entries_Michigan,aps_entries_Michigan,cjars_aps_ratio_Michigan,cjars_entries_North_Carolina,aps_entries_North_Carolina,cjars_aps_ratio_North_Carolina,cjars_entries_Texas,aps_entries_Texas,cjars_aps_ratio_Texas,cjars_entries_Wisconsin,aps_entries_Wisconsin,cjars_aps_ratio_Wisconsin
1981,,,,,,,,,,,,
1982,,,,,,,,,,,,
1983,,,,,,,,,,,,
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,29124,,,,,,,,
1987,,,,33217,,,,,,,,
1988,,,,34612,,,,,,,,
1989,,,,37469,,,,,,,,
1990,,,,41368,,,,,,,,
1991,,,,44139,,,,,,,,
1992,,,,44415,,,,,,,,
1993,,,,44325,,,,,,,,
1994,,57673,0.64199883,45086,43826,1.0287501,,173284,,,19752,0.78169298
1995,,68000,0.69191176,49837,49804,1.0006626,,200365,,,20191,0.78609282
1996,,117050,0.43376336,53887,54271,0.99292439,,192793,,,21975,0.79253697
1997,,124731,0.46910551,57905,59327,0.97603112,,193128,,,24695,0.72042924
1998,72598,61755,1.175581,57537,59436,0.96804965,,196385,,,24752,0.71792179
1999,71917,69124,1.0404056,57152,59195,0.96548694,,198573,,,24466,0.7024442
2000,70093,72739,0.96362334,56722,58930,0.96253181,,200076,,,25291,0.69767904
2001,82652,70440,1.1733674,59404,61596,0.96441329,,202476,,,25817,0.72231477
2002,95580,96630,0.98913383,58765,61122,0.96143776,,193867,,,26560,0.68889308
2003,96163,75299,1.2770821,58373,60782,0.96036655,,200450,,,25449,0.68057686
2004,98026,96488,1.0159398,57904,60069,0.96395814,,198130,,,24929,0.70295638
2005,107341,102948,1.042672,59757,62157,0.96138811,181820,181333,1.0026857,,25505,0.69868654
2006,113584,78534,1.4463035,59528,62752,0.94862318,185208,179448,1.0320984,,26163,0.68726826
2007,113772,81022,1.4042112,62180,66432,0.93599468,191363,182948,1.0459967,,25106,0.70381582
2008,111729,124279,0.89901751,64119,68467,0.93649495,184672,176648,1.0454236,,23961,0.72471935
2009,110034,125217,0.87874651,62055,65725,0.9441613,187594,172666,1.0864559,,23051,0.72725695
2010,106341,110422,0.96304178,59470,63113,0.94227815,182716,165551,1.1036841,,22275,0.90442199
2011,103229,106962,0.96509975,57203,60411,0.94689709,179597,160877,1.1163622,23466,22418,1.0467482
2012,104076,106408,0.97808433,53448,58286,0.91699553,179572,158133,1.1355758,23424,22890,1.023329
2013,108157,99214,1.0901384,51695,56843,0.90943474,179598,156509,1.1475251,23651,22741,1.0400158
2014,106488,98486,1.0812501,49403,54086,0.91341567,177486,150244,1.1813184,23215,,
2015,107527,93859,1.1456227,47004,50862,0.92414767,177174,146787,1.2070142,22704,,
2016,109285,,,44832,48995,0.91503215,177321,144055,1.2309257,22005,,
2017,116201,,,,,,179950,,,23432,,
2018,99043,,,,,,,,,24686,,
